JobID,NCPUS,NNodes,Submit,Start,End,ElapsedRaw,State
5313354,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313355,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313356,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313357,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313358,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313359,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313360,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313361,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313362,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313363,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313364,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313365,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313366,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313367,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313368,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313369,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313370,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313371,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313372,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313373,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313374,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313375,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313376,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313377,144,4,1704139192,None,1704139210,0,CANCELLED by 10408
5313378,144,4,1704139193,None,1704139210,0,CANCELLED by 10408
5313379,144,4,1704139193,None,1704139210,0,CANCELLED by 10408
5313380,144,4,1704139193,None,1704139210,0,CANCELLED by 10408
5313381,144,4,1704139193,None,1704139210,0,CANCELLED by 10408
5313382,144,4,1704139193,None,1704139210,0,CANCELLED by 10408
5313383,144,4,1704139193,None,1704139210,0,CANCELLED by 10408
5313384,144,4,1704139193,None,1704139210,0,CANCELLED by 10408
5313385,144,4,1704139193,None,1704139210,0,CANCELLED by 10408
5313386,144,4,1704139193,None,1704139210,0,CANCELLED by 10408
5313387,144,4,1704139193,None,1704139210,0,CANCELLED by 10408
5313388,144,4,1704139193,None,1704139210,0,CANCELLED by 10408
5313389,144,4,1704139193,None,1704139210,0,CANCELLED by 10408
5313390,144,4,1704139193,None,1704139210,0,CANCELLED by 10408
5313391,144,4,1704139193,None,1704139210,0,CANCELLED by 10408
5313392,144,4,1704139194,None,1704139210,0,CANCELLED by 10408
5313393,144,4,1704139194,None,1704139210,0,CANCELLED by 10408
5313394,144,4,1704139194,None,1704139210,0,CANCELLED by 10408
5313395,144,4,1704139194,None,1704139210,0,CANCELLED by 10408
5313396,144,4,1704139194,None,1704139210,0,CANCELLED by 10408
5313397,144,4,1704139194,None,1704139210,0,CANCELLED by 10408
5313398,144,4,1704139194,None,1704139210,0,CANCELLED by 10408
5313399,144,4,1704139194,None,1704139210,0,CANCELLED by 10408
5313400,144,4,1704139194,None,1704139210,0,CANCELLED by 10408
5313401,144,4,1704139194,None,1704139210,0,CANCELLED by 10408
5313402,144,4,1704139194,None,1704139210,0,CANCELLED by 10408
5313403,144,4,1704139194,None,1704139210,0,CANCELLED by 10408
5313404,144,4,1704139194,None,1704139210,0,CANCELLED by 10408
5313405,144,4,1704139194,None,1704139210,0,CANCELLED by 10408
5313406,144,4,1704139194,None,1704139210,0,CANCELLED by 10408
5313407,144,4,1704139194,None,1704139210,0,CANCELLED by 10408
5313408,144,4,1704139194,None,1704139210,0,CANCELLED by 10408
5313409,144,4,1704139195,None,1704139210,0,CANCELLED by 10408
5313410,144,4,1704139195,None,1704139210,0,CANCELLED by 10408
5313411,144,4,1704139195,None,1704139210,0,CANCELLED by 10408
5313412,144,4,1704139195,None,1704139210,0,CANCELLED by 10408
5313413,144,4,1704139195,None,1704139210,0,CANCELLED by 10408
5313414,144,4,1704139195,None,1704139210,0,CANCELLED by 10408
5313415,144,4,1704139195,None,1704139210,0,CANCELLED by 10408
5313416,144,4,1704139195,None,1704139210,0,CANCELLED by 10408
5313417,36,1,1704140950,1704140950,1704140956,6,FAILED
5313419,36,1,1704141155,1704141155,1704141298,143,TIMEOUT
5313420,36,1,1704141369,1704141370,1704141531,161,CANCELLED by 46947
5313421,36,1,1704142662,1704142663,1704154820,12157,COMPLETED
5313422,144,4,1704143849,1704143849,1704182280,38431,COMPLETED
5313423,144,4,1704143849,1704143849,1704177485,33636,COMPLETED
5313424,144,4,1704143849,1704143849,1704179988,36139,COMPLETED
5313425,144,4,1704143849,1704143849,1704179772,35923,COMPLETED
5313426,144,4,1704143849,1704143853,1704173948,30095,COMPLETED
5313427,144,4,1704143849,1704143853,1704180643,36790,COMPLETED
5313428,144,4,1704143850,1704143853,1704182088,38235,COMPLETED
5313429,144,4,1704143850,1704143853,1704188257,44404,COMPLETED
5313430,144,4,1704143850,1704143853,1704169028,25175,COMPLETED
5313431,144,4,1704143850,1704143853,1704182368,38515,COMPLETED
5313432,144,4,1704143850,1704143853,1704174163,30310,COMPLETED
5313433,144,4,1704143850,1704143853,1704178101,34248,COMPLETED
5313434,144,4,1704143850,1704143853,1704175205,31352,COMPLETED
5313435,144,4,1704143850,1704143853,1704170927,27074,COMPLETED
5313436,144,4,1704143850,1704143853,1704175464,31611,COMPLETED
5313437,144,4,1704143850,1704143853,1704174591,30738,COMPLETED
5313438,144,4,1704143850,1704143853,1704184438,40585,COMPLETED
5313439,144,4,1704143851,1704143853,1704176160,32307,COMPLETED
5313440,144,4,1704143851,1704143853,1704175976,32123,COMPLETED
5313441,144,4,1704143851,1704143853,1704174618,30765,COMPLETED
5313442,144,4,1704143851,1704143853,1704184594,40741,COMPLETED
5313443,144,4,1704143851,1704143853,1704172784,28931,COMPLETED
5313444,144,4,1704143851,1704169029,1704209452,40423,COMPLETED
5313445,144,4,1704143851,1704170928,1704203555,32627,COMPLETED
5313446,144,4,1704143851,1704172785,1704203919,31134,COMPLETED
5313447,144,4,1704143851,1704173950,1704212066,38116,COMPLETED
5313448,144,4,1704143851,1704174164,1704201090,26926,COMPLETED
5313449,144,4,1704143851,1704174593,1704212805,38212,COMPLETED
5313450,144,4,1704143851,1704174619,1704209131,34512,COMPLETED
5313451,144,4,1704143851,1704175206,1704207461,32255,COMPLETED
5313452,144,4,1704143851,1704175465,1704213238,37773,COMPLETED
5313453,144,4,1704143851,1704175977,1704207625,31648,COMPLETED
5313454,144,4,1704143851,1704176162,1704216502,40340,COMPLETED
5313455,144,4,1704143851,1704177487,1704217246,39759,COMPLETED
5313456,144,4,1704143851,1704178103,1704212705,34602,COMPLETED
5313457,144,4,1704143851,1704179773,1704219773,40000,COMPLETED
5313458,144,4,1704143851,1704179989,1704215686,35697,COMPLETED
5313459,144,4,1704143851,1704180644,1704212648,32004,COMPLETED
5313460,144,4,1704143851,1704182089,1704213060,30971,COMPLETED
5313461,144,4,1704143851,1704182282,1704210154,27872,COMPLETED
5313462,144,4,1704143852,1704182369,1704215123,32754,COMPLETED
5313463,144,4,1704143852,1704184439,1704215194,30755,COMPLETED
5313464,144,4,1704143852,1704184596,1704211230,26634,COMPLETED
5313465,144,4,1704143852,1704188258,1704232341,44083,COMPLETED
5313466,144,4,1704143852,1704201092,1704236098,35006,COMPLETED
5313467,144,4,1704143852,1704203556,1704234086,30530,COMPLETED
5313468,144,4,1704143852,1704203920,1704239959,36039,COMPLETED
5313469,144,4,1704143852,1704207462,1704236540,29078,COMPLETED
5313470,144,4,1704143852,1704207626,1704244207,36581,COMPLETED
5313471,144,4,1704143852,1704209132,1704243186,34054,COMPLETED
5313472,144,4,1704143852,1704209453,1704235046,25593,COMPLETED
5313473,144,4,1704143852,1704210155,1704242283,32128,COMPLETED
5313474,144,4,1704143852,1704211232,1704242555,31323,COMPLETED
5313475,144,4,1704143852,1704212067,1704243889,31822,COMPLETED
5313476,144,4,1704143852,1704212649,1704247077,34428,COMPLETED
5313477,144,4,1704143852,1704212706,1704254333,41627,COMPLETED
5313478,144,4,1704143852,1704212806,1704252536,39730,COMPLETED
5313479,144,4,1704143852,1704213061,1704235731,22670,COMPLETED
5313480,144,4,1704143852,1704213239,1704244367,31128,COMPLETED
5313481,144,4,1704143852,1704215124,1704245886,30762,COMPLETED
5313482,144,4,1704143852,1704215195,1704248115,32920,COMPLETED
5313483,144,4,1704143852,1704215687,1704253845,38158,COMPLETED
5313484,144,4,1704143852,1704216503,1704245883,29380,COMPLETED
5313485,144,4,1704143852,1704217247,1704257101,39854,COMPLETED
5313486,144,4,1704143852,1704219774,1704252951,33177,COMPLETED
5313487,144,4,1704143852,1704234088,1704268306,34218,COMPLETED
5313488,144,4,1704143852,1704234707,1704264439,29732,COMPLETED
5313489,144,4,1704143852,1704235047,1704273210,38163,COMPLETED
5313490,144,4,1704143852,1704235732,1704265100,29368,COMPLETED
5313491,144,4,1704143852,1704236099,1704272449,36350,COMPLETED
5313492,144,4,1704143853,1704236542,1704264222,27680,COMPLETED
5313493,144,4,1704143853,1704239959,1704274656,34697,COMPLETED
5313494,144,4,1704143853,1704242284,1704277889,35605,COMPLETED
5313495,144,4,1704143853,1704242556,1704277159,34603,COMPLETED
5313496,144,4,1704143853,1704243188,1704284858,41670,COMPLETED
5313497,144,4,1704143853,1704243890,1704283732,39842,COMPLETED
5313498,144,4,1704143853,1704244209,1704277383,33174,COMPLETED
5313499,144,4,1704143853,1704244369,1704280312,35943,COMPLETED
5313500,144,4,1704143853,1704245884,1704275792,29908,COMPLETED
5313501,144,4,1704143853,1704245888,1704282828,36940,COMPLETED
5313502,144,4,1704143853,1704247078,1704284604,37526,COMPLETED
5313503,144,4,1704143853,1704248116,1704280188,32072,COMPLETED
5313504,144,4,1704143853,1704252537,1704295812,43275,COMPLETED
5313505,144,4,1704143853,1704252952,1704289815,36863,COMPLETED
5313506,144,4,1704143853,1704253846,1704288634,34788,COMPLETED
5313507,144,4,1704143853,1704254334,1704296875,42541,COMPLETED
5313508,144,4,1704143853,1704257103,1704294097,36994,COMPLETED
